"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-06",,"64","72","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-07",,"63","68","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-08",,"62","72",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-09",,"58","70","48"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-10",,"62","66","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-11",,"62","66","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-12",,"60","70","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-13",,"58","73","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-14",,"61","68","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-15",,"63",,"57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-16",,"61","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-17",,"61","75","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-18",,"63","68","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-19",,"60","70","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-20",,"61",,"52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-21",,"60","70","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-22",,"61","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-23",,"63",,"54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-24",,"63","66","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-25",,"63","68","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-26",,"63","70","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-27",,"63","68","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-28",,"60","68","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-29",,"63","70","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-30",,"64",,"54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-31",,"60","75","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-01",,"62","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-02",,"63","70",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-03",,"60","72","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-04",,"62","70","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-05",,"63","73","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-06",,"61","70","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-07",,"63",,"54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-08",,"62","68","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-09",,"62","66","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-10",,"64","73",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-12",,"62","68","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-13",,"62","70","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-14",,"63","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-16",,"61","73",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-17",,"62","68","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-19",,"61","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-21",,"63","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-22",,"62","70","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-23",,"63","70","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-25",,"62","73","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-26",,"63","72","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-28",,"62",,"54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-29",,"63","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-30",,"64","75","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-08-31",,"64","72","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-01",,"62","68","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-03",,"62","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-04",,"61","68",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-05",,"61","70","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-06",,"64","70","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-07",,"61","70","48"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-08",,"63","72","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-09",,"63",,"59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-10",,"62","70",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-11",,"63","70","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-12",,"63","70","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-13",,"64","73","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-14",,"63","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-15",,"62","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-16",,"62","68","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-17",,"60","68","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-18",,"63","70","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-19",,"64","70","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-20",,"63","70","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-21",,"63","70","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-22",,"63","72","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-23",,"64","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-24",,"64","72",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-25",,"64","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-26",,"64","73","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-27",,"65","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-28",,"65","70","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-29",,"63","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-09-30",,"63","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-01",,"62","72","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-02",,"61","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-03",,"63","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-04",,"63","72","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-05",,"63","68","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-06",,"62","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-07",,"62","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-08",,"63","75","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-09",,"65","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-10",,"65","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-11",,"65","73","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-12",,"67","75","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-13",,"65","73","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-14",,"67","72","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-15",,"63","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-16",,"61","72","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-17",,"63","75","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-18",,"63","70","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-19",,"63","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-20",,"63","68","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-21",,"63",,"54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-22",,"63","73","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-23",,"64","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-24",,"61","72","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-25",,"62","73","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-26",,"65","73","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-27",,"65","73","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-28",,"64","72","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-29",,"66","72","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-30",,"65","73","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-10-31",,"66","75","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-01",,"64","72","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-02",,"66",,
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-03",,"66","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-04",,"67","72","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-05",,"66","75","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-06",,"66","73","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-07",,"68","75","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-08",,"66","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-09",,"64","75","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-10",,"65","72",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-11",,"66","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-12",,"64","75","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-13",,"68",,"59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-14",,"66","73","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-15",,"67","72","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-16",,"67","73","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-17",,"68","77","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-19",,"64",,
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-20",,"66","77","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-21",,"67","70","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-22",,"65","75","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-23",,"68","79","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-24",,"68","77","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-25",,"67","75","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-26",,"67","73","57"
